#ssr105
time, distance, theta, 
43.143, 1.28786, 0.0850848, 
43.2451, 1.28975, 0.0397062, 
43.3487, 1.29335, -0.00567232, 
43.4511, 1.29151, -0.017017, 
43.4864, 1.29049, -0.0283616, 
43.521, 1.28916, -0.0510509, 
43.6257, 1.28867, -0.0623955, 
43.7321, 1.12261, -0.0794125, 
43.8338, 1.28752, -0.0964294, 
43.9373, 1.28752, -0.0964294, 
43.9736, 1.28752, -0.0964294, 
44.097, 1.28786, -0.0850848, 
44.1806, 1.12261, -0.0794125, 
44.2176, 1.12347, -0.0567232, 
44.3206, 1.12466, -0.0340339, 
44.4242, 1.12681, -0.0113446, 
44.5271, 1.12681, -0.0113446, 
44.5649, 1.12681, 0.0113446, 
44.667, 1.29049, 0.0283616, 
44.7699, 3.9251, 0.890554, 
44.8085, 1.12347, 0.0567232, 
44.9097, 0.996776, 0.0737402, 
45.0144, 1.12261, 0.0794125, 
45.0495, 1.12193, 0.102102, 
45.1526, 1.12135, 0.124791, 
45.2576, 1.12085, 0.14748, 
45.3607, 1.12085, 0.14748, 
45.3975, 0.994486, 0.164497, 
45.5018, 1.12021, 0.181514, 
45.6049, 1.12001, 0.192859, 
45.7085, 1.11965, 0.215548, 
45.8122, 0.993533, 0.22122, 
45.916, 0.993366, 0.232565, 
46.0201, 1.11932, 0.238237, 
46.0544, 1.11932, 0.238237, 
46.1586, 0.993205, 0.24391, 
46.1935, 0.99305, 0.255254, 
46.2974, 0.99305, 0.255254, 
46.3323, 0.9929, 0.266599, 
46.4351, 0.892951, 0.272271, 
46.4709, 0.992755, 0.277944, 
46.5054, 0.992755, 0.277944, 
46.6254, 0.9929, 0.266599, 
46.7134, 0.99305, 0.255254, 
46.7707, 0.89325, 0.249582, 
46.8533, 0.993205, 0.24391, 
46.9559, 0.993366, 0.232565, 
47.0644, 0.993533, 0.22122, 
47.1663, 0.993707, 0.209876, 
47.2696, 0.993707, 0.209876, 
47.304, 0.894106, 0.192859, 
47.4067, 0.894106, 0.192859, 
47.4429, 0.994078, 0.187187, 
47.4773, 0.994277, 0.175842, 
47.5804, 0.894504, 0.17017, 
47.6187, 0.894946, 0.14748, 
47.7206, 0.813557, 0.141808, 
47.7673, 0.813806, 0.130463, 
47.8653, 0.896019, 0.102102, 
47.9643, 0.815013, 0.0850848, 
48.0676, 0.815013, 0.0850848, 
48.1034, 0.897107, 0.0680678, 
