#ssr105
time, vl, vr, 
26.4315, -62, 62, 
26.4638, -30.8921, -21.9356, 
26.4979, -42.9708, -32.0786, 
26.5326, -50.9047, -38.1642, 
26.5675, -56.4444, -41.9077, 
26.6044, -60.6501, -44.2411, 
26.6368, -63.5662, -45.5677, 
26.6729, -66.1682, -46.4298, 
26.7076, -68.1851, -46.7782, 
26.7409, -62, 62, 
26.7778, -69.8574, -46.6946, 
26.8116, -71.2026, -46.4944, 
26.8471, -72.4001, -46.1586, 
26.8809, -73.3878, -45.7811, 
26.9158, -74.083, -45.3745, 
26.9518, -74.5547, -45.022, 
26.9841, -74.8669, -44.7546, 
27.0185, -74.918, -44.6322, 
27.0538, -74.9965, -44.3552, 
27.0877, -75.0146, -44.0032, 
27.1251, -75.0554, -43.433, 
27.1586, -75.0351, -42.8411, 
27.1936, -74.993, -42.0889, 
27.2272, -75.0017, -41.1385, 
27.2614, -74.9764, -40.2459, 
27.2981, -74.9497, -39.1838, 
27.3308, -74.9738, -38.0251, 
27.3657, -74.9207, -37.0126, 
27.4044, -74.9612, -35.5856, 
27.4356, -74.9237, -34.5355, 
27.4718, 74.4933, -33.206, 
27.5058, 74.9824, -32.0315, 
27.539, 74.9751, -30.8246, 
27.5744, 74.9336, -29.3901, 
27.6086, 74.7962, -27.8635, 
27.6465, 74.5953, -25.9997, 
27.6784, 74.3143, -24.4612, 
27.7128, 73.9946, -22.5896, 
